Torneo,Campeón,Subcampeón
2020,Nacional,Rentistas
2019,Nacional,Peñarol
2018,Peñarol,Nacional
2017,Peñarol,Defensor Sporting
2016,Nacional,Wanderers
2015-16,Peñarol,Nacional
2014-15,Nacional,Peñarol
2013-14,Danubio,Wanderers
2012-13,Peñarol,Defensor Sporting
2011-12,Nacional,Peñarol
2010-11,Nacional,Defensor Sporting
2009-10,Peñarol,Nacional
2008-09,Nacional,Defensor Sporting
2007-08,Defensor Sporting,Peñarol
2006-07,Danubio,Peñarol
2005-06,Nacional,Rocha
2005,Nacional,Defensor Sporting
2004,Danubio,Nacional
2003,Peñarol,Nacional
2002,Nacional,Danubio
2001,Nacional,Danubio
2000,Nacional,Peñarol
1999,Peñarol,Nacional
1998,Nacional,Peñarol
1997,Peñarol,Defensor Sporting
1996,Peñarol,Nacional
1995,Peñarol,Nacional
1994,Peñarol,Defensor Sporting
1993,Peñarol,Defensor Sporting
1992,Nacional,River Plate FC
1991,Defensor Sporting,Nacional
1990,Bella Vista,Nacional
1989,Progreso,Nacional
1988,Danubio,Peñarol
1987,Defensor Sporting,Nacional
1986,Peñarol,Nacional
1985,Peñarol,Wanderers
1984,Central Español,Peñarol
1983,Nacional,Danubio
1982,Peñarol,Defensor Sporting
1981,Peñarol,Nacional
1980,Nacional,Wanderers
1979,Peñarol,Nacional
1978,Peñarol,Nacional
1977,Nacional,Peñarol
1976,Defensor Sporting,Peñarol
1975,Peñarol,Nacional
1974,Peñarol,Nacional
1973,Peñarol,Peñarol
1972,Nacional,Peñarol
1971,Nacional,Peñarol
1970,Nacional,Huracán Buceo
1969,Nacional,Peñarol
1968,Peñarol,Nacional
1967,Peñarol,Nacional
1966,Nacional,Peñarol
1965,Peñarol,Nacional
1964,Peñarol,Rampla Juniors
1963,Nacional,Peñarol
1962,Peñarol,Nacional
1961,Peñarol,Nacional
1960,Peñarol,Cerro
1959,Peñarol,Nacional
1958,Peñarol,Nacional
1957,Nacional,Peñarol
1956,Nacional,Peñarol
1955,Nacional,Peñarol
1954,Peñarol,Danubio
1953,Peñarol,Nacional
1952,Nacional,Peñarol
1951,Peñarol,Nacional
1950,Nacional,Peñarol
1949,Peñarol,Nacional
1948,No Completado
1947,Nacional,Peñarol
1946,Nacional,Peñarol
1945,Peñarol,Nacional
1944,Peñarol,Nacional
1943,Nacional,Peñarol
1942,Nacional,Peñarol
1941,Nacional,Peñarol
1940,Nacional,Rampla Juniors
1939,Nacional,Peñarol
1938,Peñarol,Nacional
1937,Peñarol,Nacional
1936,Peñarol,Nacional
1935,Peñarol,Nacional
1934,Nacional,Peñarol
1933,Nacional,Peñarol
1932,Peñarol,Rampla Juniors
1931,Wanderers,Nacional
1930,No Jugado
1929,Peñarol,Nacional
1928,Peñarol,Rampla Juniors
1927,Rampla Juniors,Peñarol
1926,No Jugado (un torneo no oficial fue ganado por pen001)
1925,No Completado
1924,Nacional,Bella Vista
1924,Peñarol,Wanderers
1923,Wanderers,Peñarol
1923,Nacional,Rampla Juniors
1922,Nacional,Wanderers
1921,Peñarol,Nacional
1920,Nacional,Peñarol
1919,Nacional,Universal
1918,Peñarol,Nacional
1917,Nacional,Peñarol
1916,Nacional,Peñarol
1915,Nacional,Peñarol
1914,River Plate FC,Peñarol
1913,River Plate FC,Nacional
1912,Nacional,CURCC
1911,CURCC,Wanderers
1910,River Plate FC,CURCC
1909,Wanderers,CURCC
1908,River Plate FC,Nacional
1907,CURCC,Wanderers
1906,Wanderers,Nacional
1905,CURCC,Nacional
1904,No Jugado
1903,Nacional,CURCC
1902,Nacional,CURCC
1901,CURCC,Nacional
1900,CURCC,Albion
